Timestamp(ms),Current(uA),D0-D7
0,11.986,X0000000
10,4.442,10000000
20,1.665,10000000
30,0.655,10000000
40,0.276,10000000
50,0.122,10000000
60,0.072,10000000
70,0.053,10000000
80,0.045,10000000
90,0.039,10000000
100,0.042,10000000
110,0.041,10000000
120,0.049,10000000
130,0.047,10000000
140,0.045,10000000
150,0.045,10000000
160,0.043,10000000
170,0.045,10000000
180,0.040,10000000
190,0.042,10000000
200,0.039,10000000
210,0.039,10000000
220,0.041,10000000
230,0.042,10000000
240,0.055,10000000
250,0.045,10000000
260,0.044,10000000
270,0.045,10000000
280,0.038,10000000
290,0.045,10000000
300,0.044,10000000
310,0.043,10000000
320,0.041,10000000
330,0.043,10000000
340,0.037,10000000
350,0.047,10000000
360,0.045,10000000
370,0.041,10000000
380,0.037,10000000
390,0.039,10000000
400,0.033,10000000
410,0.030,10000000
420,0.031,10000000
430,0.033,10000000
440,0.036,10000000
450,0.038,10000000
460,0.040,10000000
470,0.035,10000000
480,0.030,10000000
490,0.030,10000000
500,0.028,10000000
510,0.031,10000000
520,0.030,10000000
530,0.027,10000000
540,0.028,10000000
550,0.026,10000000
560,0.027,10000000
570,0.036,10000000
580,0.035,10000000
590,0.031,10000000
600,0.032,10000000
610,0.029,10000000
620,0.032,10000000
630,0.027,10000000
640,0.024,10000000
650,0.021,10000000
660,0.021,10000000
670,0.021,10000000
680,0.024,10000000
690,0.026,10000000
700,0.027,10000000
710,0.023,10000000
720,0.020,10000000
730,0.022,10000000
740,0.021,10000000
750,0.020,10000000
760,0.021,10000000
770,0.020,10000000
780,0.019,10000000
790,0.017,10000000
800,0.022,10000000
810,0.023,10000000
820,0.023,10000000
830,0.021,10000000
840,0.019,10000000
850,0.014,10000000
860,0.016,10000000
870,0.017,10000000
880,0.014,10000000
890,0.014,10000000
900,0.015,10000000
910,0.015,10000000
920,0.013,10000000
930,0.015,10000000
940,0.011,10000000
950,0.012,10000000
960,0.012,10000000
970,0.013,10000000
980,0.015,10000000
990,0.014,10000000
1000,0.013,10000000
1010,0.017,10000000
1020,0.014,10000000
1030,0.012,10000000
1040,0.013,10000000
1050,0.009,10000000
1060,0.008,10000000
1070,0.009,10000000
1080,0.007,10000000
1090,0.008,10000000
1100,0.012,10000000
1110,0.009,10000000
1120,0.009,10000000
1130,769.331,10000000
1140,868.887,10000000
1150,904.791,10000000
1160,915.833,10000000
1170,920.149,10000000
1180,922.424,10000000
1190,922.965,10000000
1200,922.729,10000000
1210,922.880,10000000
1220,922.206,10000000
1230,922.269,10000000
1240,921.822,10000000
1250,922.339,10000000
1260,921.596,10000000
1270,921.237,10000000
1280,920.416,10000000
1290,920.529,10000000
1300,920.650,10000000
1310,920.969,10000000
1320,922.177,10000000
1330,921.960,10000000
1340,921.469,10000000
1350,921.090,10000000
1360,921.339,10000000
1370,921.423,10000000
1380,921.305,10000000
1390,920.411,10000000
1400,920.667,10000000
1410,920.683,10000000
1420,920.250,10000000
1430,2432.197,10000000
1440,906.537,10000000
1450,349.761,10000000
1460,147.071,10000000
1470,72.391,10000000
1480,44.861,10000000
1490,34.713,10000000
1500,30.902,10000000
1510,29.348,10000000
1520,29.031,10000000
1530,29.025,10000000
1540,29.042,10000000
1550,29.203,10000000
1560,29.283,10000000
1570,29.436,10000000
1580,29.582,10000000
1590,29.440,10000000
1600,29.521,10000000
1610,29.670,10000000
1620,29.468,10000000
1630,29.451,10000000
1640,29.463,10000000
1650,29.314,10000000
1660,29.053,10000000
1670,28.922,10000000
1680,28.724,10000000
1690,28.072,10000000
1700,28.161,10000000
1710,28.030,10000000
1720,28.086,10000000
1730,28.295,10000000
1740,28.453,10000000
1750,28.506,10000000
1760,28.332,10000000
1770,28.455,10000000
1780,28.614,10000000
1790,28.745,10000000
1800,28.624,10000000
1810,28.658,10000000
1820,28.750,10000000
1830,28.757,10000000
1840,796.176,10000000
1850,1738.172,10000000
1860,2085.334,10000000
1870,2213.627,10000000
1880,2260.420,10000000
1890,2278.953,10000000
1900,2285.687,10000000
1910,2286.595,10000000
1920,2287.653,10000000
1930,2288.268,10000000
1940,2287.554,10000000
1950,2288.213,10000000
1960,2289.608,10000000
1970,2290.917,10000000
1980,2290.177,10000000
1990,2289.689,10000000
2000,2287.825,10000000
2010,2287.568,10000000
2020,2286.862,10000000
2030,2288.133,10000000
2040,2289.338,10000000
2050,2288.521,10000000
2060,2288.158,10000000
2070,2289.481,10000000
2080,2290.675,10000000
2090,2289.233,10000000
2100,2288.881,10000000
2110,2287.726,10000000
2120,2288.402,10000000
2130,2289.633,10000000
2140,2288.138,10000000
2150,2287.986,10000000
2160,2288.684,10000000
2170,2287.457,10000000
2180,2413.124,10000000
2190,2333.584,10000000
2200,2303.383,10000000
2210,2293.604,10000000
2220,2289.247,10000000
2230,2288.094,10000000
2240,2288.681,10000000
2250,2287.990,10000000
2260,2287.927,10000000
2270,2300.966,10000000
2280,1324.210,10000000
2290,724.832,10000000
2300,505.104,10000000
2310,426.157,10000000
2320,400.521,10000000
2330,396.082,10000000
2340,400.089,10000000
2350,407.885,10000000
2360,417.488,10000000
2370,428.140,10000000
2380,439.340,10000000
2390,450.700,10000000
2400,462.094,10000000
2410,465.860,10000000
2420,467.513,10000000
2430,490.016,10000000
2440,484.123,10000000
2450,505.029,10000000
2460,499.661,10000000
2470,509.368,10000000
2480,514.012,10000000
2490,518.898,10000000
2500,548.676,10000000
2510,552.813,10000000
2520,560.332,10000000
2530,553.279,10000000
2540,587.387,10000000
2550,593.422,10000000
2560,594.773,10000000
2570,593.297,10000000
2580,598.972,10000000
2590,630.894,10000000
2600,611.475,10000000
2610,640.855,10000000
2620,655.539,10000000
2630,675.612,10000000
2640,660.869,10000000
2650,664.074,10000000
2660,679.156,10000000
2670,701.055,10000000
2680,717.923,10000000
2690,720.376,10000000
2700,726.437,10000000
2710,740.408,10000000
2720,753.842,10000000
2730,739.114,10000000
2740,749.354,10000000
2750,758.009,10000000
2760,769.446,10000000
2770,776.078,10000000
2780,913.248,X0000000
2790,653.244,10000000
2800,253.727,10000000
2810,111.743,10000000
2820,59.902,10000000
2830,189.575,10000000
2840,571.057,10000000
2850,223.703,10000000
2860,100.964,10000000
2870,56.010,10000000
2880,39.627,10000000
2890,33.778,10000000
2900,31.532,10000000
2910,30.642,10000000
2920,30.214,10000000
2930,30.137,10000000
2940,30.158,10000000
2950,29.928,10000000
2960,29.869,10000000
2970,29.552,10000000
2980,29.568,10000000
2990,29.479,10000000
3000,29.431,10000000
3010,29.310,10000000
3020,29.395,10000000
3030,29.508,10000000
3040,29.580,10000000
3050,29.863,10000000
3060,29.695,10000000
3070,29.823,10000000
3080,30.141,10000000
3090,30.226,10000000
3100,30.204,10000000
3110,30.023,10000000
3120,30.002,10000000
3130,30.177,10000000
3140,30.200,10000000
3150,29.774,10000000
3160,29.846,10000000
3170,29.911,10000000
3180,29.666,10000000
3190,29.190,10000000
3200,29.176,10000000
3210,29.384,10000000
3220,29.633,10000000
3230,29.748,10000000
3240,29.606,10000000
3250,29.910,10000000
3260,29.978,10000000
3270,30.084,10000000
3280,30.063,10000000
3290,30.035,10000000
3300,30.218,10000000
3310,30.169,10000000
3320,29.932,10000000
3330,30.164,10000000
3340,30.139,10000000
3350,29.734,10000000
3360,29.868,10000000
3370,29.710,10000000
3380,29.498,10000000
3390,29.280,10000000
3400,29.315,10000000
3410,29.482,10000000
3420,29.686,10000000
3430,29.602,10000000
3440,29.683,10000000
3450,29.900,10000000
3460,29.817,10000000
3470,29.860,10000000
3480,29.976,10000000
3490,30.034,10000000
3500,30.114,10000000
3510,30.146,10000000
3520,30.029,10000000
3530,30.066,10000000
3540,30.110,10000000
3550,29.939,10000000
3560,29.954,10000000
3570,29.555,10000000
3580,29.447,10000000
3590,29.406,10000000
3600,29.356,10000000
3610,29.480,10000000
3620,29.465,10000000
3630,29.460,10000000
3640,29.640,10000000
3650,29.789,10000000
3660,29.947,10000000
3670,30.024,10000000
3680,30.062,10000000
3690,29.900,10000000
3700,30.087,10000000
3710,30.226,10000000
3720,29.996,10000000
3730,30.077,10000000
3740,29.915,10000000
3750,29.861,10000000
3760,29.748,10000000
3770,29.705,10000000
3780,29.659,10000000
3790,29.383,10000000
3800,29.173,10000000
3810,29.446,10000000
3820,29.520,10000000
3830,29.469,10000000
3840,624.905,10000000
3850,242.496,10000000
3860,107.181,10000000
3870,58.495,10000000
3880,40.376,10000000
3890,33.878,10000000
3900,31.468,10000000
3910,30.491,10000000
3920,30.028,10000000
3930,29.795,10000000
3940,29.662,10000000
3950,29.568,10000000
3960,29.354,10000000
3970,29.162,10000000
3980,29.432,10000000
3990,29.643,10000000
4000,29.808,10000000
4010,29.725,10000000
4020,29.761,10000000
4030,29.846,10000000
4040,29.893,10000000
4050,30.185,10000000
4060,30.243,10000000
4070,30.047,10000000
4080,30.207,10000000
4090,30.227,10000000
4100,30.263,10000000
4110,29.911,10000000
4120,29.909,10000000
4130,29.760,10000000
4140,29.633,10000000
4150,29.249,10000000
4160,29.212,10000000
4170,29.333,10000000
4180,29.407,10000000
4190,29.527,10000000
4200,29.708,10000000
4210,29.771,10000000
4220,29.766,10000000
4230,29.865,10000000
4240,29.889,10000000
4250,29.947,10000000
4260,30.095,10000000
4270,30.218,10000000
4280,30.056,10000000
4290,30.043,10000000
4300,29.990,10000000
4310,29.900,10000000
4320,29.970,10000000
4330,29.763,10000000
4340,29.577,10000000
4350,29.248,10000000
4360,29.199,10000000
4370,29.378,10000000
4380,29.413,10000000
4390,29.587,10000000
4400,29.605,10000000
4410,29.793,10000000
4420,30.002,10000000
4430,29.981,10000000
4440,30.046,10000000
4450,29.957,10000000
4460,30.089,10000000
4470,30.246,10000000
4480,30.218,10000000
4490,29.982,10000000
4500,29.946,10000000
4510,30.005,10000000
4520,29.830,10000000
4530,29.776,10000000
4540,29.363,10000000
4550,29.226,10000000
4560,29.457,10000000
4570,29.474,10000000
4580,29.406,10000000
4590,29.528,10000000
4600,29.772,10000000
4610,29.862,10000000
4620,29.680,10000000
4630,29.794,10000000
4640,30.120,10000000
4650,30.153,10000000
4660,30.100,10000000
4670,30.008,10000000
4680,30.058,10000000
4690,30.152,10000000
4700,30.063,10000000
4710,29.898,10000000
4720,29.985,10000000
4730,29.812,10000000
4740,29.549,10000000
4750,29.188,10000000
4760,29.294,10000000
4770,29.510,10000000
4780,29.440,10000000
4790,29.637,10000000
4800,29.831,10000000
4810,29.761,10000000
4820,29.785,10000000
4830,29.837,10000000
4840,768.218,10000000
4850,293.901,10000000
4860,125.301,10000000
4870,65.112,10000000
4880,42.838,10000000
4890,34.693,10000000
4900,31.536,10000000
4910,30.068,10000000
4920,29.345,10000000
4930,29.596,10000000
4940,29.550,10000000
4950,29.486,10000000
4960,29.637,10000000
4970,29.985,10000000
4980,29.983,10000000
4990,29.750,10000000
5000,29.801,10000000
5010,30.054,10000000
5020,30.177,10000000
5030,30.069,10000000
5040,30.007,10000000
5050,30.183,10000000
5060,30.131,10000000
5070,30.101,10000000
5080,30.104,10000000
5090,29.907,10000000
5100,29.673,10000000
5110,29.499,10000000
5120,29.141,10000000
5130,29.334,10000000
5140,29.322,10000000
5150,29.502,10000000
5160,29.617,10000000
5170,29.598,10000000
5180,29.775,10000000
5190,29.873,10000000
5200,29.898,10000000
5210,30.004,10000000
5220,29.990,10000000
5230,30.160,10000000
5240,30.297,10000000
5250,30.062,10000000
5260,30.034,10000000
5270,29.907,10000000
5280,30.039,10000000
5290,29.870,10000000
5300,29.759,10000000
5310,29.365,10000000
5320,29.201,10000000
5330,29.481,10000000
5340,29.433,10000000
5350,29.490,10000000
5360,29.604,10000000
5370,29.554,10000000
5380,29.851,10000000
5390,30.006,10000000
5400,29.894,10000000
5410,29.986,10000000
5420,29.977,10000000
5430,30.116,10000000
5440,30.321,10000000
5450,30.281,10000000
5460,30.129,10000000
5470,30.010,10000000
5480,30.091,10000000
5490,29.903,10000000
5500,29.578,10000000
5510,29.501,10000000
5520,29.137,10000000
5530,29.300,10000000
5540,29.467,10000000
