Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       24.05.24
Time:       08.31
Revision:   27885
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP28","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","14.7574","22.6822","0","1.0mm circular SMD testpad"
"C83","10µF","TopLayer","CAPC1608X06L","16.0250","24.8250","270","Capacitor, X5R, ±20%, 25V"
"C96","N.C.","TopLayer","CAPC1608X06L_NC","17.2150","24.8150","270","Not mounted"
"Q80","FCX690BTA","TopLayer","SOT89-150P409X160-3N","24.5640","21.3360","0","45V NPN high gain power transistor"
"SW11","Switch","TopLayer","CJS-120xA","45.1000","19.5000","180","SMD slide Switch (ON-ON)"
"SB19","Solderbridge","TopLayer","Solderbridge","8.6106","60.9000","0","Solderbridge"
"R10","N.C.","TopLayer","RESC0603X03L_C_NC","36.7000","25.1500","270","Not mounted"
"R8","100k","TopLayer","RESC0603X03L_C","57.3750","38.9250","270","Resistor, ±1%, 0.05W"
"R6","47k","TopLayer","RESC0603X03L_C","35.1000","20.1750","90","Resistor, ±1%, 0.05W"
"R5","10M","TopLayer","RESC0603X03L_C","34.1750","20.1750","270","Resistor, ±1%, 0.05W"
"Q1","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","35.1000","18.1000","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"C53","10nF","TopLayer","CAPC0603X03L_C","33.8750","19.1750","0","Capacitor, X7R, ±10%"
"TP48","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","61.0870","38.6560","180","1.5mm circular SMD testpad"
"TP49","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","61.0870","41.6560","180","1.5mm circular SMD testpad"
"TP50","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","58.0870","38.6560","180","1.5mm circular SMD testpad"
"TP51","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","61.0870","44.6560","180","1.5mm circular SMD testpad"
"LED5","L0603G","TopLayer","LED_0603_G","38.2390","22.5750","180","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"Q2","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","41.1000","24.6500","270","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R7","560R","TopLayer","RESC0603X03L_C","36.6000","22.5750","90","Resistor, ±1%, 0.05W"
"R11","150R","TopLayer","RESC0603X03L_C","37.0206","37.4944","90","Resistor, ±1%, 0.05W"
"R12","150R","TopLayer","RESC0603X03L_C","37.5794","37.4944","90","Resistor, ±1%, 0.05W"
"R14","150R","TopLayer","RESC0603X03L_C","38.1382","37.4944","90","Resistor, ±1%, 0.05W"
"R15","150R","TopLayer","RESC0603X03L_C","38.6970","37.4944","90","Resistor, ±1%, 0.05W"
"R16","150R","TopLayer","RESC0603X03L_C","43.0000","26.3000","0","Resistor, ±1%, 0.05W"
"R17","150R","TopLayer","RESC0603X03L_C","43.0000","25.7000","0","Resistor, ±1%, 0.05W"
"R18","150R","TopLayer","RESC0603X03L_C","43.0000","25.1000","0","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","43.0000","24.5000","0","Resistor, ±1%, 0.05W"
"R20","1M0","TopLayer","RESC0603X03L_C","43.0000","27.0250","0","Resistor, ±1%, 0.05W"
"U2","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","38.2388","30.0268","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C28","1.0µF","TopLayer","CAPC1005X04L","39.7888","35.0518","0","Capacitor, X5R, ±10%, 6.3V"
"C40","1.0µF","TopLayer","CAPC1005X04L","37.1388","34.9568","0","Capacitor, X5R, ±10%, 6.3V"
"C30","2.2nF","TopLayer","CAPC0603X03L_C","43.0000","31.6524","0","Capacitor, X7R, ±10%, 10V"
"C39","100nF","TopLayer","CAPC0603X03L_C","39.7578","34.3268","0","Capacitor, X5R, ±10%"
"C29","1.0µF","TopLayer","CAPC1005X04L","41.7638","35.0518","0","Capacitor, X5R, ±10%, 6.3V"
"C38","4.7µF","TopLayer","CAPC1608X06L","34.2388","36.0818","90","Capacitor, X7R, ±10%, 6.3V"
"Q3","RV2C010UNT2L","TopLayer","DFN65P100X40-3L","43.1000","27.9500","90","N-Channel MOSFET, 20V, 1A, 470mOhm, 400mW"
"R13","2R2","TopLayer","RESC0603X03L_C","32.2250","35.4250","270","Resistor, ±1%, 0.05W"
"C37","4.7µF","TopLayer","CAPC1608X06L","33.1138","36.0818","90","Capacitor, X7S, ±10%, 10V"
"C36","1.0µF","TopLayer","CAPC1005X04L","37.4888","35.8318","0","Capacitor, X5R, ±10%, 6.3V"
"C35","1.0µF","TopLayer","CAPC1005X04L","35.7138","35.8518","270","Capacitor, X5R, ±10%, 6.3V"
"C27","100nF","TopLayer","CAPC0603X03L_C","37.4154","25.1518","270","Capacitor, X5R, ±10%"
"C26","100nF","TopLayer","CAPC0603X03L_C","33.9638","27.5268","270","Capacitor, X5R, ±10%"
"C25","100nF","TopLayer","CAPC0603X03L_C","33.6638","29.6768","180","Capacitor, X5R, ±10%"
"C24","100nF","TopLayer","CAPC0603X03L_C","33.9388","32.2768","270","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","43.0500","34.6500","90","Capacitor, X5R, ±10%"
"C33","100nF","TopLayer","CAPC0603X03L_C","43.0000","32.4906","0","Capacitor, X5R, ±10%"
"C32","100nF","TopLayer","CAPC0603X03L_C","43.0000","30.3518","0","Capacitor, X5R, ±10%"
"C31","100nF","TopLayer","CAPC0603X03L_C","39.5637","25.1518","270","Capacitor, X5R, ±10%"
"X3","32MHz","TopLayer","BT-XTAL_2016","42.7000","37.2500","270","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm, -30°C ~ 85°C, ESR: 50ohm max"
"R9","49.9R","TopLayer","RESC0603X03L_C","43.0000","31.0174","0","Resistor, ±1%, 0.05W"
"C92","1.0µF","TopLayer","CAPC1608X06L","51.7500","40.5500","270","Capacitor, X7R, ±10%"
"U9","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","53.2500","41.2500","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
"SB81","Solderbridge","TopLayer","Solderbridge","50.3500","40.5250","270","Solderbridge"
"R69","866R","TopLayer","RESC0603X03L_C","51.9684","45.7708","90","Resistor, ±1%, 0.05W"
"R99","10k","TopLayer","RESC0603X03L_C","46.9000","40.1500","0","Resistor, ±1%, 0.05W"
"R97","4R7","TopLayer","RESC0603X03L_C","31.7500","39.4208","180","Resistor, ±1%, 0.05W"
"R98","4R7","TopLayer","RESC0603X03L_C","87.7824","14.9606","0","Resistor, ±1%, 0.05W"
"U26","74LVC1G11","TopLayer","SOT65P210X100-6N","21.6662","10.4140","270","Single 3-input AND gate"
"R96","1M0","TopLayer","RESC0603X03L_C","22.5044","12.4206","0","Resistor, ±1%, 0.05W"
"R95","100k","TopLayer","RESC0603X03L_C","19.4310","14.7066","270","Resistor, ±1%, 0.05W"
"Q84","PMCPB5530","TopLayer","PMCPB5530X","22.9512","14.3562","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"C94","100nF","TopLayer","CAPC0603X03L_C","21.9456","8.4074","180","Capacitor, X5R, ±10%"
"TP39","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","69.2150","40.0050","0","1.0mm circular SMD testpad"
"TP35","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","61.7220","39.6240","0","1.0mm circular SMD testpad"
"R2","0R","TopLayer","RESC0603X03L_C","103.4034","37.3380","90","Resistor, ±5%, 0.05W"
"R1","0R","TopLayer","RESC0603X03L_C","104.3178","37.3380","90","Resistor, ±5%, 0.05W"
"C52","N.C.","TopLayer","CAPC0603X03L_C_NC","103.4034","38.5826","270","Not mounted"
"C51","N.C.","TopLayer","CAPC0603X03L_C_NC","104.3178","38.5826","270","Not mounted"
"SB17","Solderbridge","TopLayer","Solderbridge","108.8390","20.4978","0","Solderbridge"
"C15","1.0µF","TopLayer","CAPC1608X06L","112.8136","43.4814","180","Capacitor, X7R, ±10%"
"L3","15nH","TopLayer","INDC1005X04L","111.3886","44.9924","180","Inductor, 450mA, ±5%,  0.32ohm"
"L2","10µH","TopLayer","INDC1608X06L","110.9136","43.2674","270","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C16","47nF","TopLayer","CAPC1005X04L","112.8014","42.4434","0","Capacitor, X7R, ±10%, 25V"
"R53","4k7","TopLayer","RESC0603X03L_C","80.4164","21.7424","0","Resistor, ±1%, 0.05W"
"R52","4k7","TopLayer","RESC0603X03L_C","82.9056","21.7424","180","Resistor, ±1%, 0.05W"
"SB48","Solderbridge","TopLayer","Solderbridge","29.2608","30.3244","270","Solderbridge"
"U24","TCK106AG","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","1.0 A Load Switch IC with Slew Rate Control Driver in Ultra Small Package"
